series,signal_type,n_short,n_long,kappa,n_fires,n_fires_deduped,fire_rate_pct,tp_rate,fp_rate,avg_fwd_5d,avg_fwd_10d,avg_fwd_20d,avg_fwd_maxdd_20,avg_fwd_maxdd_40,median_fwd_maxdd_20
Portfolio,VR_only,10,50,3.0,33,7.0,1.4588859416445623,0.06060606060606061,0.9393939393939394,1.4768850052596434,3.030110426876854,4.150483382098526,-1.9016292524186111,-3.279895072555624,-1.507945359163273
Portfolio,VR+R5<0,10,50,3.5,4,1.0,0.17683465959328026,0.0,1.0,2.815755010345039,3.3975361913851976,7.988664318086636,-0.08046257492745588,-0.08046257492745588,0.0
Portfolio,VR_only,10,50,3.5,14,2.0,0.618921308576481,0.0,1.0,1.5893584456880154,4.1020574901684235,4.601652189700734,-1.2295481737149183,-2.513356697990937,-0.780849121225086
Portfolio,VR+R5<0,10,50,4.0,1,1.0,0.044208664898320066,0.0,1.0,0.005732423794868602,3.2582171844298236,5.663245573584752,-0.32185029970982354,-0.32185029970982354,-0.32185029970982354
Portfolio,VR_only,10,50,4.0,7,1.0,0.3094606542882405,0.0,1.0,0.7431736563412656,4.120136325720757,6.4739899104944225,-0.6877736715079236,-0.6877736715079236,-0.32185029970982354
Portfolio,VR+R5<0,10,100,1.5,209,39.0,9.239610963748895,0.3492822966507177,0.6507177033492823,0.4862303589802699,1.059453056975388,1.8087514403617173,-4.59552357421091,-6.419177954325381,-3.510712279360183
Portfolio,VR_only,10,100,1.5,420,34.0,18.56763925729443,0.3404761904761905,0.6595238095238095,0.5196953267183655,0.8897759268330722,1.2060578446899684,-4.509744867866033,-6.14580674907453,-2.997050740991656
Portfolio,VR+R5<0,10,100,1.75,158,30.0,6.984969053934571,0.35443037974683544,0.6455696202531646,0.5838827699555139,1.4056064921364675,1.682269627762038,-4.511327873453034,-6.391589618500958,-3.5203418060867575
Portfolio,VR_only,10,100,1.75,323,28.0,14.279398762157383,0.35294117647058826,0.6470588235294118,0.6649236111316753,1.0838391406497292,0.7663895818736428,-4.562645238721917,-6.307579724586813,-3.1403625759570986
Portfolio,VR+R5<0,10,100,2.0,120,19.0,5.305039787798409,0.3333333333333333,0.6666666666666666,0.6358154445406837,1.5098674096128477,2.3395843912287266,-4.423768215236316,-5.5864159615436115,-3.152409024923482
Portfolio,VR_only,10,100,2.0,241,21.0,10.654288240495138,0.36929460580912865,0.6307053941908713,0.6045752189549415,1.0671226925430317,1.1330165766917397,-4.673355231280039,-6.036097208054877,-3.2510484490656224
Portfolio,VR+R5<0,10,100,2.25,100,18.0,4.420866489832007,0.29,0.71,0.3938444788421793,1.4223029868205048,2.5354677708694484,-4.372632208945136,-5.480535725386522,-2.9070858069897256
Portfolio,VR_only,10,100,2.25,183,16.0,8.090185676392574,0.34972677595628415,0.6502732240437158,0.39853583658881475,1.100574529927924,1.2325876456916998,-4.755259119518893,-6.258342500103326,-3.0537696007813406
Portfolio,VR+R5<0,10,100,2.5,80,16.0,3.5366931918656057,0.2625,0.7375,0.2911491737211212,1.6114650155423071,3.239979773758977,-3.996215512607442,-4.794031391357496,-2.9070858069897256
Portfolio,VR_only,10,100,2.5,146,15.0,6.45446507515473,0.3150684931506849,0.684931506849315,0.3392067131851406,1.302028802610415,1.6237485227741304,-4.389900265513599,-5.801554077130658,-2.908354899838254
Portfolio,VR+R5<0,10,100,3.0,54,11.0,2.3872679045092835,0.2777777777777778,0.7222222222222222,-0.5082283355645121,0.47011071751103284,3.422127723481249,-4.2527366606593855,-4.79732974450857,-2.9818193850491412
Portfolio,VR_only,10,100,3.0,96,11.0,4.244031830238726,0.2604166666666667,0.7395833333333334,0.0300323365486993,1.0298268018984658,2.20309428569302,-3.973609546880647,-5.024104768673323,-2.7956500602445082
Portfolio,VR+R5<0,10,100,3.5,31,7.0,1.3704686118479221,0.16129032258064516,0.8387096774193549,-0.39576735111629013,0.6776147606743251,4.615145811499799,-3.1491852390099675,-3.6813726660630985,-2.6590504889443216
Portfolio,VR_only,10,100,3.5,47,6.0,2.0778072502210434,0.1702127659574468,0.8297872340425532,-0.07538079516245604,0.8763124005529798,3.211610736769873,-3.3755004589834394,-4.343219013547724,-2.7082656808533603
Portfolio,VR+R5<0,10,100,4.0,18,6.0,0.7957559681697612,0.1111111111111111,0.8888888888888888,-0.06303955369780048,1.3861023691433796,6.33288201603469,-2.3907344077570083,-3.1546044888929017,-2.295400798482966
